Product_title,Price(Rs),Rating_stars,No_of_review,Available
God Of War Ragnarok | Launch Edition | PS5 Game (PlayStation 5),"4,999",4.6 out of 5 stars,110 ratings,In stock.
Sonic Frontiers | Standard Edition | PlayStation 5 (PS5),"3,499",5 out of 5 stars,1 rating,In stock.
PS5 Grand Theft Auto V,"2,099",4.4 out of 5 stars,104 ratings,In stock.
PlayStation 5 â€“ The Best Hidden Features and Essential Tips and Tricks (Bonus: 27 Voice Commands),221,2 out of 5 stars,1 rating,
Need For Speed Unbound | Standard Edition | Playstation 5 (PS5),"4,438",4.1 out of 5 stars,2 ratings,In stock.
PS5 WWE 2K22,"1,999",4.2 out of 5 stars,58 ratings,In stock.
Horizon Forbidden West | Standard Edition | PS5 Game (PlayStation 5),"2,683",4.6 out of 5 stars,210 ratings,In stock.
Sony DualSense Wireless Controller for PlayStation 5 (White),"5,098",4.4 out of 5 stars,"1,305 ratings",In stock.
Gran Turismo 7 | Standard Edition | PS5 Game (PlayStation 5),"2,697",4.1 out of 5 stars,122 ratings,In stock.
"CRASOME Dust Cover for PS5 Lining Dust Guard for PS5 Console, Waterproof Cover Sleeve for PlayStation 5 Console Digital Edition & Disc Edition (Grey)",298,4.5 out of 5 stars,2 ratings,In stock.
PS5 WWE 2K22,"1,999",4.2 out of 5 stars,58 ratings,In stock.
FIFA 23 | Standard Edition | PS5 (PlayStation 5),"3,909",4.5 out of 5 stars,44 ratings,In stock.
Marvel's Midnight Suns | Enhanced Edition | PlayStation 5 (PS5),"4,122",,,Only 2 left in stock.
Sony Marvel's Spider-Man: Miles Morales (PS5),"2,099",4.5 out of 5 stars,500 ratings,In stock.
Blackpoll Water Proof Dust Cover for PS5 Console Digital Edition & Disc Edition Playstation 5 (Black),299,4.1 out of 5 stars,20 ratings,In stock.
DualSense Wireless Controller Red (PlayStation 5),"5,399",4.5 out of 5 stars,385 ratings,In stock.
"Michael Schumacher PX1 Car Steering and padals for PlayStation 1,2,3,4,5 and For PC",,,,
DualSense Charging Station - (PlayStation5),"2,499",4.7 out of 5 stars,306 ratings,In stock.
WALLTON - PS5 Skin Protective Wrap Cover Vinyl Sticker Decals for Playstation 5 Disk Version Console and Two Dual Sense 5 Sticker Skins Black PS5 Skin - (Batman Black),899,2.9 out of 5 stars,3 ratings,In stock.
SKIN POSTER - PS5 Skin Protective Vinyl Sticker Decals for PlayStation 5 Disk Version Console and Two Dual Sense 5 Sticker Skins Black PS5 Skin Console and Controller UV Print Vinyl - Rick And Morty,799,3.7 out of 5 stars,3 ratings,In stock.
SKIN POSTER - PS5 Skin Protective Vinyl Sticker Decals for PlayStation 5 Disk Version Console and Two Dual Sense 5 Sticker Skins Black PS5 Skin Console and Controller UV Print Vinyl - Iron - Man,799,,,In stock.
Skin Poster - PS5 Skin Protective Vinyl Sticker Decals for PlayStation 5 Disk Version Console and Two Dual Sense 5 Sticker Skins Black PS5 Skin Console and Controller UV Print Vinyl - The Joker,798,1 out of 5 stars,1 rating,In stock.
